City,Lat,Lng,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Country,Date
Touros,-5.1989,-35.4608,78.3,75,96,11.36,BR,1667866822
Narsaq,60.9167,-46.05,32.22,78,100,6.58,GL,1667866822
Vardø,70.3705,31.1107,33.78,86,75,4.61,NO,1667866588
Winfield,37.2398,-96.9956,62.69,52,100,9.22,US,1667866529
Mahébourg,-20.4081,57.7,71.89,88,20,4.61,MU,1667866823
Saint-Philippe,-21.3585,55.7679,71.19,78,59,7.99,RE,1667866823
Pevek,69.7008,170.3133,1.8,94,9,2.04,RU,1667866823
Grindavik,63.8424,-22.4338,42.75,87,75,16.11,IS,1667866824
Mount Isa,-20.7333,139.5,92.97,27,0,8.05,AU,1667866824
Chokurdakh,70.6333,147.9167,-12.28,95,72,11.7,RU,1667866825
Bluff,-46.6,168.3333,65.8,66,69,5.55,NZ,1667866825
Hermanus,-34.4187,19.2345,59.72,87,40,7.14,ZA,1667866825
Upernavik,72.7868,-56.1549,11.44,88,100,8.46,GL,1667866593
Cabo San Lucas,22.8909,-109.9124,81.7,67,20,16.11,MX,1667866591
Bilibino,68.0546,166.4372,-5.04,97,64,4.14,RU,1667866826
Vostok,46.4856,135.8833,31.77,70,31,4.7,RU,1667866559
Itarema,-2.9248,-39.9167,79.16,73,84,14.03,BR,1667866700
Isangel,-19.55,169.2667,75.31,94,75,12.66,VU,1667866827
Talnakh,69.4865,88.3972,-3.8,100,95,6.53,RU,1667866828
Fuengirola,36.54,-4.6247,62.85,94,0,8.05,ES,1667866828
Nikolskoye,59.7035,30.7861,39.09,94,100,8.01,RU,1667866577
Lagoa,39.05,-27.9833,62.96,68,100,19.39,PT,1667866604
Avera,33.194,-82.5271,70.56,64,65,5.41,US,1667866829
Tuktoyaktuk,69.4541,-133.0374,1.4,78,20,9.22,CA,1667866829
Liptovský Mikuláš,49.0806,19.6222,38.82,91,39,1.72,SK,1667866829
Avarua,-21.2078,-159.775,77.05,65,75,8.05,CK,1667866830
Tasiilaq,65.6145,-37.6368,29.82,97,100,6.82,GL,1667866830
Mar del Plata,-38.0023,-57.5575,64.09,88,0,15.01,AR,1667866566
Leh,34.1667,77.5833,25.95,75,63,2.48,IN,1667866652
Ribeira Grande,38.5167,-28.7,62.78,74,100,7.0,PT,1667866831
Cherskiy,68.75,161.3,-6.34,98,13,3.42,RU,1667866831
Konakovo,56.7,36.7667,36.93,96,100,8.03,RU,1667866831
Kavieng,-2.5744,150.7967,84.18,70,90,5.44,PG,1667866832
Timizart,36.8,4.2667,63.27,35,2,7.31,DZ,1667866832
San Cristobal,7.7669,-72.225,67.6,97,95,2.53,VE,1667866231
Zhangye,38.9342,100.4517,37.15,39,68,5.26,CN,1667866833
Pingliang,35.5392,106.6861,46.15,61,100,4.29,CN,1667866833
Lamar,33.6668,-95.5836,71.37,95,100,12.66,US,1667866233
Cidreira,-30.1811,-50.2056,62.15,82,33,13.09,BR,1667866233
Palmer,42.1584,-72.3287,60.21,25,2,12.1,US,1667866834
Lebu,-37.6167,-73.65,54.81,81,54,9.93,CL,1667866234
Rabo de Peixe,37.8,-25.5833,60.31,97,20,3.44,PT,1667866234
Acapulco de Juárez,16.8634,-99.8901,82.22,83,40,8.05,MX,1667865978
Lompoc,34.6391,-120.4579,59.85,80,40,8.05,US,1667865962
Manthani,18.65,79.6667,64.83,72,40,2.93,IN,1667866234
Saldanha,-33.0117,17.9442,59.97,86,27,6.26,ZA,1667866235
Gigmoto,13.7796,124.39,82.94,82,100,7.49,PH,1667866235
Buala,-8.145,159.5921,83.59,77,89,8.14,SB,1667866236
Dawlatabad,36.4141,64.9053,47.16,84,100,10.56,AF,1667866236
Bredasdorp,-34.5322,20.0403,57.25,90,29,5.7,ZA,1667866236
Hornepayne,49.2138,-84.7705,28.96,75,71,10.63,CA,1667866237
Alekseyevsk,57.8406,108.3492,22.75,92,84,12.17,RU,1667866237
Ilulissat,69.2167,-51.1,-7.35,88,23,6.51,GL,1667866226
Whitehorse,60.7161,-135.0538,4.1,67,17,13.0,CA,1667866014
Kasongo-Lunda,-6.4667,16.8167,70.0,99,99,1.52,CD,1667866238
Bethel,41.3712,-73.414,68.36,18,0,8.05,US,1667866239
Escanaba,45.7453,-87.0646,41.31,69,100,5.97,US,1667865959
Praia,14.9215,-23.5087,77.68,66,62,6.78,CV,1667866239
Maragogi,-9.0122,-35.2225,76.15,81,71,1.86,BR,1667866240
Ferrol,43.4832,-8.2369,57.72,84,82,21.77,ES,1667866019
Aswān,24.0934,32.907,67.39,33,0,8.43,EG,1667866240
Río Gallegos,-51.6226,-69.2181,65.64,44,100,13.58,AR,1667866241
Buckeye,33.3703,-112.5838,79.12,22,0,0.0,US,1667866241
Kuytun,54.3419,101.5036,21.52,91,100,4.54,RU,1667866241
Nouadhibou,20.931,-17.0347,71.01,72,6,13.47,MR,1667866242
Barrow,71.2906,-156.7887,24.82,80,100,23.02,US,1667866242
Los Llanos de Aridane,28.6585,-17.9182,65.95,47,0,8.05,ES,1667866243
Leland,34.2563,-78.0447,71.06,83,0,3.44,US,1667866134
Alyangula,-13.8483,136.4192,85.53,63,100,7.27,AU,1667866243
Shubarshi,48.5872,57.1869,25.99,89,17,6.22,KZ,1667866244
Lang Son,21.8333,106.7333,64.92,82,0,1.86,VN,1667866244
Grants,35.1473,-107.8514,57.43,26,0,3.44,US,1667866244
Berlevåg,70.8578,29.0864,33.8,86,75,9.22,NO,1667866245
Saint George,37.1041,-113.5841,68.25,34,0,14.97,US,1667866025
Hinton,53.4001,-117.5857,1.33,98,100,6.8,CA,1667866245
Hobart,-42.8794,147.3294,75.06,55,0,8.05,AU,1667866245
Sobolevo,54.4299,31.8996,41.72,91,100,11.77,RU,1667866246
San Patricio,28.017,-97.5169,80.46,75,0,11.12,US,1667866246
Yerofey Pavlovich,53.9667,121.9667,14.04,89,55,0.38,RU,1667866247
Hasaki,35.7333,140.8333,59.29,65,38,15.03,JP,1667866247
Castro,-24.7911,-50.0119,51.1,90,7,5.7,BR,1667866247
Salvacion,7.9833,126.1333,81.86,78,92,1.99,PH,1667866248
Bandarbeyla,9.4942,50.8122,77.29,76,2,3.78,SO,1667866248
Manta,-0.95,-80.7333,71.38,83,40,10.36,EC,1667866248
Taksimo,56.3444,114.8794,18.09,95,100,2.26,RU,1667866249
Codrington,-38.2667,141.9667,72.14,68,3,9.91,AU,1667866249
Bengkulu,-3.8004,102.2655,74.35,91,100,2.71,ID,1667866250
Bolnisi,41.4479,44.5384,42.39,94,100,3.18,GE,1667866250
Água Branca,-5.8922,-42.6361,78.17,72,97,1.77,BR,1667866251
General Roca,-39.0333,-67.5833,82.06,36,47,1.99,AR,1667866251
Shīeli,44.1667,66.75,41.74,82,99,8.14,KZ,1667866251
Augustów,53.8432,22.9798,44.1,90,87,8.63,PL,1667866252
Geraldton,-28.7667,114.6,66.61,77,75,14.97,AU,1667866252
Caravelas,-17.7125,-39.2481,70.29,73,100,5.75,BR,1667866175
Blagoyevo,63.3667,47.9167,34.3,98,100,8.43,RU,1667866253
Comodoro Rivadavia,-45.8667,-67.5,73.26,31,40,5.75,AR,1667866253
Shelburne,44.0787,-80.2041,40.77,74,16,14.41,CA,1667866254
Channel-Port aux Basques,47.5702,-59.1367,53.46,87,86,30.87,CA,1667866254
Ayagoz,47.9714,80.4392,39.9,93,100,10.78,KZ,1667866254
Ryōtsu-minato,38.0833,138.4333,57.04,80,62,26.6,JP,1667866255
Tessalit,20.1986,1.0114,72.86,17,20,10.45,ML,1667866255
Labuhan,-6.8844,112.2051,79.43,80,100,5.3,ID,1667866256
George Town,5.4112,100.3354,82.24,82,20,0.0,MY,1667866256
Okha,53.5739,142.9478,25.11,59,96,18.59,RU,1667866256
Chui,-33.6971,-53.4616,58.66,84,4,9.33,UY,1667866257
Coahuayana Viejo,18.7333,-103.6833,78.69,84,9,4.0,MX,1667866257
Korla,41.7597,86.1469,45.36,41,93,2.89,CN,1667866258
Vao,-22.6667,167.4833,74.43,85,90,17.25,NC,1667865977
Baruun-Urt,46.6806,113.2792,26.94,44,2,10.45,MN,1667866258
Kailua,21.4022,-157.7394,85.98,72,91,5.99,US,1667866258
Gaziantep,37.0594,37.3825,49.93,93,75,5.75,TR,1667866259
Tuatapere,-46.1333,167.6833,64.08,52,96,4.76,NZ,1667866259
Wattegama,6.7989,81.4808,72.28,92,97,3.67,LK,1667866260
Norman Wells,65.282,-126.8329,3.74,75,11,7.85,CA,1667866207
Shimoda,34.6667,138.95,64.11,63,0,4.79,JP,1667866260
Nacogdoches,31.6002,-94.6335,78.44,89,0,4.61,US,1667866261
Severo-Kuril'sk,50.6789,156.125,37.85,85,90,12.44,RU,1667866261
Kumul,42.8,93.45,44.04,32,100,0.92,CN,1667866262
Māndal,25.45,74.5667,73.62,32,59,2.64,IN,1667866262
Usinsk,65.9939,57.5281,24.82,97,100,13.91,RU,1667866262
Klaksvík,62.2266,-6.589,49.12,90,96,34.45,FO,1667866263
Inzer,54.2167,57.5556,26.58,95,100,2.42,RU,1667866263
Faanui,-16.4833,-151.75,78.98,75,12,7.36,PF,1667866264
Sierpc,52.8568,19.6691,48.94,92,72,8.72,PL,1667866264
Navalmoral de la Mata,39.8916,-5.5406,61.95,89,88,2.13,ES,1667866265
Jayanca,-6.3908,-79.8219,64.29,74,13,10.16,PE,1667866265
Roald,62.5833,6.1333,47.75,81,100,8.05,NO,1667866265
Tilichiki,60.4667,166.1,19.06,92,100,5.61,RU,1667866266
Balakliya,49.4627,36.8595,32.85,87,18,5.08,UA,1667866267
Lubao,14.9167,120.55,81.07,79,71,7.0,PH,1667866267
Ibiá,-19.4783,-46.5389,63.91,84,39,1.5,BR,1667866267
Mossamedes,-15.1961,12.1522,68.18,76,2,7.56,AO,1667866268
Coquimbo,-29.9533,-71.3436,56.93,88,100,3.44,CL,1667866268
Clyde River,70.4692,-68.5914,1.51,87,88,7.58,CA,1667866269
Port Lincoln,-34.7333,135.8667,77.94,42,99,16.78,AU,1667866269
Boda,4.3189,17.4695,69.82,96,100,2.35,CF,1667866269
Kaitangata,-46.2817,169.8464,59.25,64,65,4.65,NZ,1667866270
Nuuk,64.1835,-51.7216,18.21,73,20,13.8,GL,1667866270
Rocha,-34.4833,-54.3333,53.67,94,0,6.58,UY,1667866271
Alofi,-19.0595,-169.9187,76.39,69,49,16.4,NU,1667866271
Wakkanai,45.4094,141.6739,46.38,76,75,13.8,JP,1667866272
Bambous Virieux,-20.3428,57.7575,69.22,79,4,10.11,MU,1667866272
Naryan-Mar,67.6713,53.087,32.81,98,100,12.35,RU,1667866273
Nokaneng,-19.6667,22.2667,69.98,81,75,0.78,BW,1667866274
Imeni Poliny Osipenko,52.4201,136.4853,20.84,78,8,4.27,RU,1667866275
Cukai,4.25,103.4167,79.0,91,64,5.01,MY,1667866275
Sault Ste. Marie,46.5168,-84.3333,41.29,75,75,11.5,CA,1667866276
Beihai,21.4833,109.1,71.2,87,2,6.04,CN,1667866276
Salalah,17.0151,54.0924,75.29,83,0,3.44,OM,1667866276
Torbay,47.6666,-52.7314,61.57,95,100,25.32,CA,1667866277
Leningradskiy,69.3833,178.4167,15.17,87,100,6.35,RU,1667866277
Saskylakh,71.9167,114.0833,-23.64,99,26,5.5,RU,1667866278
Paamiut,61.994,-49.6678,17.69,59,99,6.6,GL,1667866278
Ancud,-41.8697,-73.8203,53.69,95,83,4.9,CL,1667866278
Thompson,55.7435,-97.8558,-3.68,99,59,2.73,CA,1667866279
Syas'stroy,60.1367,32.5691,37.65,91,100,13.4,RU,1667866279
Sangar,63.9242,127.4739,-11.07,95,100,3.4,RU,1667866280
Esso,55.9333,158.7,15.31,87,71,3.38,RU,1667866280
Port-Gentil,-0.7193,8.7815,79.21,83,100,9.42,GA,1667866280
Kita,13.0349,-9.4895,76.53,26,48,5.12,ML,1667866281
Jaciara,-15.9653,-54.9683,73.99,35,0,2.91,BR,1667866281
Trairi,-3.2778,-39.2689,79.07,72,66,10.11,BR,1667866264
Henties Bay,-22.116,14.2845,61.84,89,5,3.38,NA,1667866281
Baykal'sk,51.5058,104.1469,30.52,95,100,7.72,RU,1667866282
Baykit,61.67,96.37,9.43,99,90,3.11,RU,1667866283
Teya,60.3778,92.6267,16.63,95,99,4.05,RU,1667866283
Richards Bay,-28.783,32.0377,70.39,90,96,9.51,ZA,1667866284
Olafsvik,64.8945,-23.7142,42.4,74,89,14.2,IS,1667866284
Zvishavane,-20.3267,30.0665,68.34,87,100,1.83,ZW,1667866284
Denpasar,-8.65,115.2167,80.26,88,20,2.3,ID,1667866138
Moses Lake,47.1301,-119.2781,46.76,53,75,5.75,US,1667866103
Daru,-9.0763,143.2092,80.11,85,100,5.26,PG,1667866208
Iqaluit,63.7506,-68.5145,18.7,62,100,15.01,CA,1667866285
Cabadiangan,9.7531,122.4739,82.27,78,68,3.49,PH,1667866286
Tromsø,69.6496,18.957,37.42,81,40,14.97,NO,1667866286
Cap-aux-Meules,47.3821,-61.8597,50.99,68,65,33.51,CA,1667866286
Krasnosel'kup,65.7,82.4667,20.68,96,100,7.49,RU,1667866287
Srednekolymsk,67.45,153.6833,-7.42,100,97,7.7,RU,1667866287
Kirakira,-10.4544,161.9205,84.42,75,72,8.88,SB,1667866288
Ajdabiya,30.7554,20.2263,66.09,73,10,7.67,LY,1667866288
Sitka,57.0531,-135.33,29.8,40,0,6.64,US,1667866288
Asău,46.4333,26.4,42.28,80,95,3.53,RO,1667866289
Anadyr,64.75,177.4833,27.1,100,75,17.9,RU,1667866289
Philadelphia,39.9523,-75.1638,68.7,51,0,4.61,US,1667866076
Poronaysk,49.2167,143.1167,35.89,58,63,7.23,RU,1667866290
Rio Grande,-32.035,-52.0986,62.11,75,24,15.3,BR,1667866238
Aykhal,66.0,111.5,-4.85,100,99,2.82,RU,1667866290
Tanout,14.9709,8.8879,73.38,17,3,9.55,NE,1667866291
Keti Bandar,24.1447,67.4497,76.62,71,1,4.65,PK,1667866291
Gushikawa,26.3544,127.8686,75.2,84,75,9.22,JP,1667866291
Dhidhdhoo,6.8833,73.1,80.92,75,1,7.16,MV,1667866292
Butembo,0.15,29.2833,57.52,96,99,2.01,CD,1667866292
Vaitape,-16.5167,-151.75,78.96,75,11,7.38,PF,1667866293
Marabu,4.4148,114.0089,78.28,90,100,3.53,MY,1667866293
Yellowknife,62.456,-114.3525,4.21,96,86,1.23,CA,1667866294
Gopālpur,19.2667,84.9167,70.88,86,46,6.29,IN,1667866294
Wanning,18.8003,110.3967,72.25,95,100,9.31,CN,1667866295
Dolores,-36.3132,-57.6792,55.45,92,0,8.01,AR,1667866295
Digha,21.6833,87.55,70.09,72,11,5.44,IN,1667866295
Lorengau,-2.0226,147.2712,86.38,66,85,5.01,PG,1667866296
Balad,34.0164,44.1453,64.99,30,10,6.85,IQ,1667866296
Porto Walter,-8.2686,-72.7439,81.57,48,67,2.91,BR,1667866296
Oyonnax,46.2592,5.6573,51.06,80,70,4.88,FR,1667866297
Flin Flon,54.7682,-101.865,7.59,92,90,4.81,CA,1667866297
Fairbanks,64.8378,-147.7164,20.82,71,100,0.0,US,1667866298
Molteno,-31.3968,26.3625,56.64,77,100,9.28,ZA,1667866298
Townsville,-19.25,146.8,83.28,54,40,14.97,AU,1667866299
Marzuq,14.4,46.4667,65.75,70,1,4.38,YE,1667866299
Marrakesh,31.6315,-8.0083,66.27,48,0,2.3,MA,1667866300
Carauari,-4.8828,-66.8958,79.34,65,87,2.48,BR,1667866300
Inhambane,-23.865,35.3833,75.85,85,84,8.61,MZ,1667866300
Kaoma,-14.7833,24.8,62.4,92,91,4.05,ZM,1667866301
Mount Gambier,-37.8333,140.7667,74.66,50,0,7.02,AU,1667866263
Russell,32.3502,-85.1999,75.0,65,29,4.34,US,1667866301
Boyolangu,-8.1181,111.8935,76.5,90,100,3.09,ID,1667866302
Kovernino,57.1253,43.8142,34.02,95,100,7.54,RU,1667866302
Athol,42.5959,-72.2268,58.75,28,0,13.8,US,1667866221
Pisco,-13.7,-76.2167,62.65,82,0,11.5,PE,1667866302
Burshtyn,49.2587,24.6278,48.79,83,99,5.68,UA,1667866303
Ponta do Sol,32.6667,-17.1,68.72,87,77,3.02,PT,1667866303
Dikson,73.5069,80.5464,5.25,94,100,9.42,RU,1667866269
Arraial do Cabo,-22.9661,-42.0278,68.83,75,100,4.5,BR,1667866234
Calderitas,18.55,-88.25,78.91,78,75,0.0,MX,1667866304
Muros,42.7762,-9.0603,62.69,92,81,17.87,ES,1667866304
Louis Trichardt,-23.0439,29.9032,65.55,87,98,4.5,ZA,1667866305
Yanam,16.7333,82.2167,69.82,89,21,4.14,IN,1667866305
Gamba,-2.65,10.0,76.84,90,100,6.87,GA,1667866306
Fukumitsu,36.55,136.8667,62.78,68,37,5.99,JP,1667866158
Ol'khovatka,50.2831,39.2872,32.05,87,18,4.83,RU,1667866306
Guerrero Negro,27.9769,-114.0611,67.51,70,87,14.0,MX,1667866307
St. George's,12.0564,-61.7485,79.25,85,77,11.01,GD,1667866240
Calvinia,-31.4707,19.776,58.46,50,0,2.42,ZA,1667866308
Fortuna,40.5982,-124.1573,49.08,93,20,9.22,US,1667866308
Kiunga,-6.1219,141.2906,75.06,98,100,2.35,PG,1667866308
Jinxiang,27.4327,120.6062,64.72,77,55,7.02,CN,1667866309
Hammerfest,70.6634,23.6821,37.85,87,40,8.05,NO,1667866309
Zaprešić,45.8564,15.8078,46.92,86,51,2.3,HR,1667866310
La Sarre,48.8002,-79.1996,30.85,73,81,13.94,CA,1667866310
Marawi,7.9986,124.2928,75.45,81,54,0.4,PH,1667866311
Halifax,44.6453,-63.5724,60.69,94,53,11.01,CA,1667866291
Kholtoson,50.2981,103.3097,18.84,87,77,3.2,RU,1667866311
Barra do Corda,-5.5,-45.25,75.02,92,89,3.83,BR,1667866312
Arman',59.7,150.1667,19.02,89,99,15.19,RU,1667866312
Santa María del Oro,25.9333,-105.3667,70.81,23,12,5.86,MX,1667866313
Puerto Madryn,-42.7692,-65.0385,70.79,46,40,17.65,AR,1667866254
Namatanai,-3.6667,152.4333,83.19,73,86,4.63,PG,1667866313
Beyneu,45.3167,55.2,32.92,75,5,5.5,KZ,1667866314
Tonekābon,36.8163,50.8738,54.64,82,100,8.3,IR,1667866314
Harrison,30.4091,-89.0436,75.27,90,0,0.0,US,1667866315
Hofn,64.2539,-15.2082,43.72,91,100,25.52,IS,1667866315
Kurumkan,54.3,110.3,27.41,92,99,3.49,RU,1667866316
Petropavlovsk-Kamchatskiy,53.0452,158.6483,32.59,69,75,6.71,RU,1667866316
Watertown,42.3709,-71.1828,65.17,22,0,23.02,US,1667866317
Tokonou,9.65,-9.7833,75.54,65,90,1.7,GN,1667866317
Ahipara,-35.1667,173.1667,62.28,87,90,13.73,NZ,1667866114
Plouzané,48.3833,-4.6167,53.78,94,75,21.85,FR,1667866318
Puerto del Rosario,28.5004,-13.8627,71.35,88,100,11.5,ES,1667866318
Pacific Grove,36.6177,-121.9166,59.34,65,100,11.01,US,1667866319
Mlimba,-8.8,35.8167,73.81,76,30,6.42,TZ,1667866319
Young,-32.6833,-57.6333,58.06,68,0,7.92,UY,1667866319
Mehamn,71.0357,27.8492,33.75,93,75,4.61,NO,1667866320
Honningsvåg,70.9821,25.9704,38.95,75,75,4.61,NO,1667866320
Conakry,9.538,-13.6773,82.2,78,96,8.32,GN,1667866321
Gomel,52.4345,30.9754,42.82,75,100,10.56,BY,1667866321
Zaraza,9.3503,-65.3245,80.1,71,98,1.66,VE,1667866321
Half Moon Bay,37.4636,-122.4286,57.15,74,40,17.27,US,1667866322
Birjand,32.8663,59.2211,48.78,49,0,2.64,IR,1667866322
Kavaratti,10.5669,72.642,81.97,70,7,5.32,IN,1667866322
San Quintín,30.4833,-115.95,65.86,78,76,13.27,MX,1667866323
Stawell,-37.05,142.7667,69.13,68,1,10.54,AU,1667866323
Conceição do Coité,-11.5639,-39.2828,70.5,73,79,12.68,BR,1667866324
Pangoa,-12.1167,-73.0,72.28,71,52,2.89,PE,1667866325
Rodeo,38.033,-122.2669,57.94,66,75,17.27,US,1667866326
Buraidah,26.326,43.975,66.88,55,0,6.46,SA,1667866326
Ol'ga,43.7444,135.2892,40.73,64,2,6.78,RU,1667866326
Soyo,-6.1349,12.3689,78.31,84,71,7.31,AO,1667866327
Jieshi,22.8134,115.8257,70.83,84,89,11.32,CN,1667866327
Vila Franca do Campo,37.7167,-25.4333,61.21,86,100,6.4,PT,1667866328
Esperance,-33.8667,121.9,58.84,78,100,15.86,AU,1667866328
Coyhaique,-45.5752,-72.0662,56.01,88,0,2.3,CL,1667866298
Maceió,-9.6658,-35.7353,74.64,94,20,4.61,BR,1667866154
Chicama,-7.8447,-79.1469,61.34,78,19,5.95,PE,1667866329
Biak,-0.9131,122.8766,79.43,79,100,2.73,ID,1667866330
Cayenne,4.9333,-52.3333,75.24,94,0,0.0,GF,1667866331
Beloha,-25.1667,45.05,71.69,82,0,2.84,MG,1667866331
Hirara,24.8,125.2833,76.33,80,69,17.05,JP,1667866331
Kununurra,-15.7667,128.7333,91.38,46,32,3.44,AU,1667866332
Mindelo,16.8901,-24.9804,76.12,69,87,10.22,CV,1667866332
Quzhou,28.9594,118.8686,62.78,73,0,5.73,CN,1667866332
Yangi Marg`ilon,40.4272,71.7189,48.92,81,75,4.61,UZ,1667866333
Gamagōri,34.8333,137.2333,59.05,55,0,14.5,JP,1667866333
Elko,41.0002,-115.5012,32.23,92,100,10.0,US,1667866334
Albury,-36.0833,146.9167,74.32,65,23,5.3,AU,1667866063
Talas,38.6908,35.5538,45.27,76,75,2.3,TR,1667866334
Waipawa,-41.4122,175.5153,61.39,60,4,6.71,NZ,1667866150
Kenora,49.8167,-94.4337,28.78,79,91,3.0,CA,1667866335
Verkhnyaya Inta,65.9811,60.3094,25.03,91,100,12.77,RU,1667866335
Aloleng,16.1307,119.7824,81.09,77,76,7.67,PH,1667866336
Macamic,48.7502,-78.9996,30.65,73,75,14.09,CA,1667866336
Hamilton,39.1834,-84.5333,59.74,35,0,8.05,US,1667866231
Kahului,20.8947,-156.47,87.82,63,0,24.16,US,1667866315
Carutapera,-1.195,-46.02,76.28,91,98,6.26,BR,1667866337
Arraias,-12.9288,-46.9437,71.96,75,94,3.11,BR,1667866337
Eilat,29.5581,34.9482,68.38,36,10,3.0,IL,1667866338
Khromtau,50.2503,58.4347,24.1,94,83,10.65,KZ,1667866338
Tocopilla,-22.092,-70.1979,64.31,66,6,3.53,CL,1667866339
Pangody,65.85,74.4859,19.63,95,100,9.1,RU,1667866131
Soubre,5.7856,-6.6083,72.48,99,70,2.48,CI,1667866339
Bloomfield,40.8068,-74.1854,71.26,25,0,10.36,US,1667866339
Dickinson,29.4608,-95.0513,79.12,85,0,11.5,US,1667866340
Pokhara,28.2333,83.9833,61.75,55,98,3.36,NP,1667866310
Port Macquarie,-31.4333,152.9167,69.89,73,66,5.95,AU,1667866340
Suez,29.9737,32.5263,65.53,61,0,3.96,EG,1667866341
Chiungutwa,-10.8833,38.9833,69.89,85,40,3.87,TZ,1667866342
Suntar,62.1444,117.6319,14.61,96,100,3.6,RU,1667866336
Atikokan,48.7555,-91.6216,26.38,86,90,1.52,CA,1667866342
Kapit,2.0167,112.9333,74.93,99,100,0.63,MY,1667866343
Qasigiannguit,68.8193,-51.1922,-5.49,89,14,5.77,GL,1667866343
Conceição da Barra,-18.5933,-39.7322,69.66,74,100,5.12,BR,1667866344
Hohhot,40.8106,111.6522,37.04,35,18,3.24,CN,1667866344
